,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
47,"Smithtown Town PUMA, NY",143090215.676461,Social & community service managers,1351998168.0,109007660.97080216
48,"Huntington Town (North) PUMA, NY",142992819.68164864,Purchasing managers,716968729.4945055,149654481.25975567
49,"Oakland (East) & Piedmont Cities PUMA, CA",142827319.31481248,Industrial production managers,1157392467.6164382,156312696.47488225
50,"Richmond District PUMA, CA",142103790.27171728,Dietitians & nutritionists,1157392463.0,79053290.06782268
51,"North Beach & Chinatown PUMA, CA",142008000.90128103,Credit counselors & loan officers,1157392443.1764708,137235832.17932606
52,"Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA, MN",141836346.5609416,Insurance claims & policy processing clerks,997610821.5,71230817.19351323
53,"South of Market & Potrero PUMA, CA",141757351.68583247,Chemists & materials scientists,1157392377.0980392,144884554.49300033
54,"Fulton County (North)Sandy Springs City PUMA, GA",141546891.94395694,Lodging managers,964835094.6766917,90269501.88680838
55,"Park Slope, Carroll Gardens & Red Hook PUMA, NY",141011267.7832856,Financial analysts,812365228.7737226,201459377.03718996
56,"Austin City (Northwest) PUMA, TX",140493730.34204552,Architectural & engineering managers,958689684.0851064,271146679.44610673
57,"White Plains City PUMA, NY",140479760.13999662,Surgeons,1351998168.0,571660495.1726127
58,"Tinton Falls Borough (South) PUMA, NJ",140429337.94985756,Advertising & promotions managers,1304883203.8153846,138556291.17714074
59,"Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",140344729.70855248,Economists,1067259206.5822784,231888052.86483282
60,"Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",140292815.2814434,Musicians and singers,1351998168.0,32410806.325408705
61,"San Jose City (Southwest/Almaden Valley) PUMA, CA",139161426.70197576,"Healthcare support workers, all other, including medical equipment preparers",657562753.1803279,48787656.392833
62,"Middlesex County (Southwest) PUMA, NJ",139055636.43481335,"Securities, commodities, & financial services sales agents",781583105.6170213,235476111.74532747
63,"Sunnyvale & San Jose (North) Cities PUMA, CA",138533298.18726677,Firstline supervisors of nonretail sales workers,745067442.0459185,143109662.6477693
64,"Charlotte City (South) PUMA, NC",137698958.13070253,Economists,846023138.1386138,231888052.86483282
65,"Columbia (West) & Ellicott City (Northwest) PUMA, MD",137674773.47835132,"Power plant operators, distributors, & dispatchers",1028338011.4736842,155839655.57713184
66,"Bucks County (Central) PUMA, PA",137266190.72432756,"Securities, commodities, & financial services sales agents",995562367.0,235476111.74532747
67,"Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",137097863.45741233,Flight attendants,1067259285.5000001,83867012.9199675
68,"District of Columbia (West) PUMA, DC",136646996.01029846,Personal financial advisors,1368386158.7368422,224327492.92839324
69,"Westchester County (Northwest) PUMA, NY",136408869.62510523,Surgeons,1351998168.0,571660495.1726127
70,"San Jose City (South Central/Branham) & Cambrian Park PUMA, CA",136380323.86426005,Personal financial advisors,1157392418.490566,224327492.92839324
71,"LA City (Central/Pacific Palisades) PUMA, CA",136119903.00987527,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",1157392418.490566,158606202.17782545
72,"Lake View & Lincoln Park PUMA, IL",135917791.30079475,Other financial specialists,1112325872.1951218,198319233.27190593
73,"Eden Prairie & Minnetonka Cities PUMA, MN",135278069.3986621,Other financial specialists,997610865.1851853,198319233.27190593
74,"Morris County (West) PUMA, NJ",135248752.29670173,Floral designers,1304883181.377049,39183066.00113067
75,"Carmel City & Fishers Town (West) PUMA, IN",135163353.47933906,Surgeons,843974657.5353534,571660495.1726127
76,"Santa Monica City PUMA, CA",135010728.27550215,"Miscellaneous engineers, including nuclear engineers",1157392399.6039603,174746885.31786102
77,"Princeton Borough PUMA, NJ",134564245.46485627,"Wholesale & retail buyers, except farm products",1304883198.787879,69111840.30689749
78,"South San Francisco, San Bruno & Brisbane Cities PUMA, CA",134552711.3780646,"Models, demonstrators, & product promoters",1157392420.875,24444275.858794224
79,"Concord (South), Walnut Creek (East) & Clayton Cities PUMA, CA",134440049.41263986,Surgeons,1157392463.0,571660495.1726127
80,"Union City, Newark & Fremont (West) Cities PUMA, CA",134426018.08630526,Detectives & criminal investigators,1157392388.7457626,140473661.98199973
81,"Gilroy, Morgan Hill & San Jose (South) Cities PUMA, CA",133998360.38449122,Physicians,1157392458.2535212,418213885.2623563
82,"Greater Bellevue City PUMA, WA",133973405.09261516,Surgeons,1067259254.8636365,571660495.1726127
83,"San Jose (West Central) & Campbell Cities PUMA, CA",133898129.03772946,"Architects, except landscape and naval",724216310.877193,157537300.90291384
84,"Arlington County (South) PUMA, VA",133803263.36102074,"Architects, except landscape and naval",580941649.5384616,157537300.90291384
85,"Middlesex (West Central) & Worcester (East) Counties PUMA, MA",133683216.88904704,Computer network architects,1270058881.4328358,192965510.23446938
86,"Phoenixville Borough PUMA, PA",133472053.06254266,Actuaries,995562382.4587156,265049587.04010835
87,"Freehold Borough PUMA, NJ",133256656.8735263,Compliance officers,1304883120.3157895,138642660.40675443
88,"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA",133233235.80193219,General & operations managers,615396896.0695915,159600529.72584003
89,"Flower Mound Town & Highland Village City PUMA, TX",132895640.37296066,Lodging managers,958689691.7333333,90269501.88680838
90,"Frisco City (East) & Prosper Town PUMA, TX",132654487.3939299,Private detectives & investigators,958689661.7777778,99887447.70819607
91,"Leesburg Town PUMA, VA",132203031.48970824,"Sales representatives, wholesale & manufacturing",737453559.7806122,137353420.12825927
92,"Greenpoint & Williamsburg PUMA, NY",132123594.98782611,Financial analysts,878428072.3987731,201459377.03718996
93,"Monmouth County (Central) PUMA, NJ",132097585.34777011,"Bookkeeping, accounting, & auditing clerks",1304883141.6000001,59706747.354180075
94,"Vienna Town, Oakton & Fair Oaks (East) PUMA, VA",131901372.93254377,Other Sales Workers,714566187.7777779,93899896.54026239
95,"Watertown Town City, Arlington, Belmont & Winchester Towns PUMA, MA",131896335.11213015,Financial analysts,966816383.0163934,201459377.03718996
96,"Oyster Bay Town (South) PUMA, NY",131316836.00902861,Sales engineers,1351998168.0,219954122.53236544
97,"Montgomery County (South)The Woodlands (North) PUMA, TX",130822811.20791914,Other designers,958689674.6896551,107680155.80319767
98,"San Jose City (Southeast/Evergreen) PUMA, CA",130530616.57432228,Financial managers,734205039.9402984,186102768.20035145
99,"Coral Gables City, Pinecrest Village & Kendall (South) PUMA, FL",130526322.84257394,Cost estimators,975077521.2923077,119224414.19934453
100,"Fulton County (Northeast)Johns Creek City PUMA, GA",130442744.0864572,Nuclear medicine technologists and medical dosimetrists,964835105.2727273,268817089.05138195
101,"San Jose City (Central) PUMA, CA",130135074.5207908,Compliance officers,1157392455.8297873,138642660.40675443
102,"Sunset District (North) PUMA, CA",130092002.83075322,Diagnostic medical sonographers,1157392434.440678,149349949.37101868
103,"Plainfield City & Westfield Town (South) PUMA, NJ",130048647.01059063,Computer & information systems managers,553805781.4538745,207310144.3027507
104,"Reston (North) & Franklin Farm PUMA, VA",130047048.98047782,Interior designers,710384334.9857143,72908310.635501
105,"Linton Hall & Gainesville PUMA, VA",129846142.53069867,Physician assistants,1024241088.5106384,186531725.38923976
106,"Ringwood, Wanaque & Pompton Lakes Boroughs PUMA, NJ",129757303.43779667,"Claims adjusters, appraisers, examiners, & investigators",1304883197.3793101,102214657.37263739
107,"Burlington County (West Central) PUMA, NJ",129612235.15940276,Other financial specialists,1304883163.4594593,198319233.27190593
108,"Plano City (West) PUMA, TX",129401628.6061176,Physicians,707044508.3705722,418213885.2623563
109,"Fulton County (Central)Atlanta City (North) PUMA, GA",129208329.12415539,"Heating, air conditioning, & refrigeration mechanics & installers",964835114.9473685,77601917.58451673
110,"Red Bank & Tinton Falls (North) Boroughs PUMA, NJ",129185252.91152771,Podiatrists,1304883121.210084,228034384.44743314
111,"Brazoria County (North)Pearland City PUMA, TX",129111793.23197572,"Petroleum, mining & geological engineers, including mining safety engineers",958689688.3738317,246614991.21165854
112,"Grapevine, Southlake & Colleyville Cities PUMA, TX",129057620.7190862,Producers & directors,958689670.5882354,131553561.66417725
113,"Near North Side, Loop & Near South Side PUMA, IL",128947022.97473922,Aircraft pilots & flight engineers,594059825.6,233771261.06901407
114,"Hunterdon County PUMA, NJ",128784743.87094474,Surgeons,1304883183.0769231,571660495.1726127
115,"Sterling & Ashburn (Northeast/Ashburn Village) PUMA, VA",128712291.03029484,"Securities, commodities, & financial services sales agents",1024241085.3818182,235476111.74532747
116,"Putnam County PUMA, NY",128065794.60316202,Industrial production managers,879268258.625,156312696.47488225
117,"San Diego City (Northwest/Del Mar Mesa) PUMA, CA",127838389.01351489,"Doortodoor sales workers, news & street vendors, & related workers",1157392448.3478262,24266152.94118063
118,"Huntington Town (South) PUMA, NY",127713674.56831701,Training & development specialists,1351998168.0,104997379.77448316
119,"Edina, St. Louis Park & Hopkins Cities PUMA, MN",127603612.41764697,Industrial production managers,997610801.28,156312696.47488225
120,"Haddonfield Borough PUMA, NJ",127418485.01853357,Surgeons,1304883120.3157895,571660495.1726127
121,"Fremont City (East) PUMA, CA",127335546.65121,Industrial production managers,637077930.5185184,156312696.47488225
122,"DeKalb County (North)Dunwoody City PUMA, GA",127301105.52654684,Other financial clerks,964835072.680851,154601498.81592458
123,"Blue Valley Region PUMA, KS",127264487.17689867,Surgeons,899283702.2040817,571660495.1726127
124,"Sunset District (South) PUMA, CA",126892336.52404302,"Business operations specialists, all other",1157392410.2168674,121531236.01207739
125,"East of TX-6 & West of Beltway TX-8 PUMA, TX (79500US4804636)",126751011.33738378,Surgeons,958689685.9354839,571660495.1726127
126,"Raleigh City (Northwest) & Morrisville Town PUMA, NC",126483960.19016293,Financial analysts,846023132.8,201459377.03718996
127,"Baltimore County (Outer) PUMA, MD",126434986.11751993,Nuclear medicine technologists and medical dosimetrists,1028338043.4,268817089.05138195
128,"Minneapolis City (Southwest) PUMA, MN",126311780.19578665,Surgeons,997610821.5,571660495.1726127
129,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804613)",126268848.22316152,Surgeons,958689629.2173914,571660495.1726127
130,"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA, MA",126256280.5769566,Firstline supervisors of food preparation & serving workers,1270058857.1275167,46954792.46382324
131,"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA",126237037.39357774,Podiatrists,1157392458.2535212,228034384.44743314
132,"Apex & Holly Springs Towns PUMA, NC",126219226.89957787,Surgeons,846023104.4210525,571660495.1726127
133,"San Gabriel Valley Region (North) PUMA, CA",126178927.66487345,Insurance sales agents,1157392425.5555556,108894176.09057176
134,"Pasadena City PUMA, CA",126142941.17828932,Surgeons,1157392445.2631578,571660495.1726127
135,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",125684650.54487279,Other financial specialists,1470810152.7272727,198319233.27190593
136,"Keansburg Borough PUMA, NJ",125652437.65170379,Chief executives & legislators,913024504.4130982,285675917.3191395
137,"St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA, IL",125620919.92696716,Couriers & messengers,1112325799.2328768,51470486.04785971
138,"Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",125575979.67064121,Diagnostic medical sonographers,635960629.4117646,149349949.37101868
139,"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA, MA",125574016.12513876,Education administrators,1270058914.1694915,124577464.58058551
140,"Islip Town (South) PUMA, NY",125560629.44998083,Insurance claims & policy processing clerks,1351998168.0,71230817.19351323
141,"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",125509153.82677403,"Television, video, & motion picture camera operators & editors",1157392436.4943821,77458074.27247986
142,"San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, CA",125507124.62494856,Surgeons,1157392425.5555556,571660495.1726127
143,"Warren, Libertyville (North & East) & Shields Townships PUMA, IL",125484280.35537252,Information security analysts,1112325864.8888888,200694182.4692968
144,"Hempstead Town (Northwest) PUMA, NY",124937808.0669736,Broadcast announcers and radio disc jockeys,1351998168.0,96033138.16884615
145,"Jersey City (North) PUMA, NJ",124868266.85173145,Chemists & materials scientists,1304883236.3243244,144884554.49300033
146,"Central Harlem PUMA, NY",124842408.51242498,Physician assistants,1351998168.0,186531725.38923976
147,"Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA, IL",124773365.4590363,Broadcast announcers and radio disc jockeys,1112325857.3999999,96033138.16884615
148,"Severna Park, Arnold & Lake Shore PUMA, MD",124740062.99981272,Environmental engineers,1028337976.0,145490838.02129853
149,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",124733727.75276494,Producers & directors,1470810101.6666667,131553561.66417725
150,"Forest Hills & Rego Park PUMA, NY",124470935.56266741,Landscaping and groundskeeping workers,1351998121.248555,31812209.741123162
151,"Centreville (Southeast) & Lorton PUMA, VA",124438994.06333768,Veterinarians,1024241051.4461539,171603331.8240765
152,"Springfield (South), West Springfield & Franconia PUMA, VA",124242433.16439241,Physicians,488947511.6611296,418213885.2623563
153,"Fulton County (Northwest)Roswell City PUMA, GA",124229955.21651252,Insurance sales agents,720060099.9818182,108894176.09057176
154,"Queen Anne & Magnolia PUMA, WA",124141466.02804753,Other financial clerks,1067259262.1313869,154601498.81592458
155,"Dover Town & Kinnelon Borough PUMA, NJ",124101071.45234121,Personal financial advisors,763186937.0594594,224327492.92839324
156,"Alexandria City PUMA, VA",124066626.87679231,Sales managers,584071360.6115704,215569207.83716124
157,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA",123999227.76404698,Surgeons,1157392420.875,571660495.1726127
158,"Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA, NJ",123787938.93058653,Cardiovascular technologists and technicians,1304883184.168421,155301057.0999721
159,"Hempstead Town (Southeast) PUMA, NY",123472010.42374043,Other Sales Workers,654312905.9548873,93899896.54026239
160,"Hempstead Town (Southwest) & Long Beach City PUMA, NY",123440926.23635584,Industrial production managers,870560162.2532752,156312696.47488225
161,"Oyster Bay Town (Central) PUMA, NY",123426006.79825254,Insurance underwriters,1351998105.3023255,132720045.10173878
162,"Franklin & Brentwood Cities PUMA, TN",123400713.53423779,Radiologic technologists and technicians,901332173.2727273,114721489.09384273
163,"Union City & Hoboken Cities PUMA, NJ",123372554.08119601,Advertising sales agents,593655267.21,119342434.38657989
164,"Carver & Scott (West) Counties PUMA, MN",123239351.13277186,"Securities, commodities, & financial services sales agents",997610830.690909,235476111.74532747
165,"Newton City & Brookline Town PUMA, MA",122949649.34202324,Credit counselors & loan officers,1270058864.6666667,137235832.17932606
166,"Loveland, Montgomery Cities & Forestville PUMA, OH",122851631.59608631,Physician assistants,884944305.1267606,186531725.38923976
167,"St. Louis County (Central) PUMA, MO",122628928.23437953,Surgeons,852168540.8709677,571660495.1726127
168,"Billerica, Andover, Tewksbury & Wilmington Towns PUMA, MA",122608325.45325373,Dentists,702761511.9262673,258225172.68799314
169,"Far Rockaway, Breezy Point & Broad Channel PUMA, NY",122556876.76582013,Market research analysts & marketing specialists,1351998168.0,136965985.46571857
170,"Lincoln Park Borough PUMA, NJ",122372930.75521985,Pharmacists,795556022.5454545,179214605.3943039
171,"Birmingham & Bloomfield Area PUMA, MI",122243599.51508147,Compliance officers,874701866.5,138642660.40675443
172,"Thousand Oaks City PUMA, CA",122237902.10196184,Aircraft pilots & flight engineers,983271455.6037735,233771261.06901407
173,"Logan Square, Avondale & Hermosa PUMA, IL",122207412.4716455,Stationary engineers & boiler operators,1112325853.5849059,107050840.99238378
174,"Greater Franklin Town City PUMA, MA",121987159.24593696,Physician assistants,1270058848.7225807,186531725.38923976
175,"Peninsula Region & Tacoma City (West) PUMA, WA",121887882.12533243,Dentists,1067259289.2444445,258225172.68799314
176,"Downers Grove Township PUMA, IL",121800963.7145752,Physicians,765120061.3564888,418213885.2623563
177,"Denver City (South Central) PUMA, CO",121742614.63780278,Aircraft pilots & flight engineers,1020144166.7532465,233771261.06901407
178,"League City & Friendswood City PUMA, TX",121595039.2423795,Other Sales Workers,958689630.8206687,93899896.54026239
179,"District of Columbia (Central) PUMA, DC",121576912.64881024,Advertising sales agents,525932905.692946,119342434.38657989
180,"Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA, AZ",121502600.76700838,Training & development specialists,843974656.6027397,104997379.77448316
181,"Seattle City (Northwest) PUMA, WA",121393257.65102853,Procurement clerks,1067259240.292683,110300325.66559133
182,"Hempstead Town (East Central) PUMA, NY",121384904.73113011,Firstline supervisors of nonretail sales workers,489871830.2058319,143109662.6477693
183,"Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA, MA",121218193.27591208,Human resources managers,641285368.1764706,146374673.5856089
184,"Woodlawn, Rose Hill & Mount Vernon PUMA, VA",121211980.76362404,Firstline supervisors of production & operating workers,1024241084.1355933,106683053.85064176
185,"Annapolis City, Parole, Annapolis Neck & Edgewater PUMA, MD",121081893.17752033,Other financial specialists,1028338025.0181818,198319233.27190593
186,"Chinatown & Lower East Side PUMA, NY",120984223.78518654,Computer network architects,1351998233.7560976,192965510.23446938
187,"Austin City (Southwest), Lost Creek & Barton Creek PUMA, TX",120952926.5194158,Astronomers & physicists,958689664.6037736,169960630.55978352
188,"Boca Raton City & Highland Beach Town PUMA, FL",120837376.88674423,Travel agents,975077562.1445783,59599994.26102409
189,"Burke PUMA, VA",120828240.97374886,Other healthcare practitioners & technical Occupations,1024241081.2394366,102784320.21048814
190,"Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",120695542.68166088,Personal financial advisors,1304883219.8709679,224327492.92839324
191,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804612)",120611105.55626352,Tax preparers,958689659.4375,59811148.11539154
192,"New City & Congers PUMA, NY",120571443.25580752,Biological scientists,1351998220.180645,120423988.71010365
193,"North of FM-1960, West of I-45 & East of TX-249 PUMA, TX",120549146.03045677,"Shipping, receiving, & traffic clerks",958689682.6329114,51871127.75272825
194,"West Hollywood & Beverly Hills Cities PUMA, CA",120513598.1750742,Personal financial advisors,681333692.9,224327492.92839324
195,"King of Prussia & Ardmore (East) PUMA, PA",120421361.31197584,"Industrial engineers, including health & safety",995562344.5333333,147532692.77462214
196,"San Jose City (Northwest) PUMA, CA",120098321.14340429,Athletes and sports competitors,1157392437.309417,93844429.49892953
197,"Novato & San Rafael (North) Cities PUMA, CA",119905125.55241172,Network and computer systems administrators,641174910.6086956,141703059.05363485
198,"Broomall & Ardmore (West) PUMA, PA",119728287.55402403,Natural sciences managers,995562386.8235295,175998132.0858239
199,"Centreville (North & West) & Chantilly (South & West) PUMA, VA",119668625.20713976,Human resources managers,1024241042.3414636,146374673.5856089
200,"Fort Bend County (West & South) PUMA, TX",119648881.37459424,Economists,958689674.1654135,231888052.86483282
201,"South Plainfield & Middlesex Boroughs PUMA, NJ",119343831.3555416,Cardiovascular technologists and technicians,1304883152.103896,155301057.0999721
202,"Hempstead Town (Northeast) PUMA, NY",119297535.52723683,Chief executives & legislators,662156109.6962458,285675917.3191395
203,"Frisco (West), The Colony & Little Elm Cities PUMA, TX",119048400.04194252,"Securities, commodities, & financial services sales agents",698697640.1854839,235476111.74532747
204,"Point Pleasant Borough PUMA, NJ",118819959.05408807,Stationary engineers & boiler operators,1304883234.9230769,107050840.99238378
205,"Hockessin PUMA, DE",118783190.71851182,Phlebotomists,975077569.766871,51813594.14768995
206,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA, CT",118671385.32970944,Radiologic technologists and technicians,614544640.7793695,114721489.09384273
207,"Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA, MA",118534102.48785484,Other financial clerks,1023792470.8029196,154601498.81592458
208,"Ela, Freemont, Wauconda & Cuba Townships PUMA, IL",118484310.63132583,"Miscellaneous first-line supervisors, protective service workers",1112325834.9333334,114652034.78791162
209,"Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",118368964.00670229,Nurse practitioners & nurse midwives,1067259272.5384614,176369664.75898403
210,"DuPage & Wheatland Townships PUMA, IL",118353489.82884815,Aircraft pilots & flight engineers,1112325856.2312138,233771261.06901407
211,"Woodbury & Cottage Grove Cities PUMA, MN",118280647.61168668,Physicians,774838400.0869566,418213885.2623563
212,"Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities PUMA, OH",118221097.6982023,Other financial specialists,884944360.4571428,198319233.27190593
213,"Rockville, Gaithersburg Cities & North Potomac PUMA, MD",118170820.48207933,Physicians,567337601.3113637,418213885.2623563
214,"District of Columbia (Northeast) PUMA, DC",117979560.93839979,Judicial law clerks,1368386073.6000001,92003439.73690304
215,"Saratoga County (Outer) PUMA, NY",117946016.29239434,Nuclear medicine technologists and medical dosimetrists,1351998231.6850393,268817089.05138195
216,"Niles & Evanston Townships PUMA, IL",117862552.12129267,Sales managers,1112325841.8461537,215569207.83716124
217,"Lyons & Stickney Townships PUMA, IL",117674297.85005005,Radiologic technologists and technicians,1112325860.4179103,114721489.09384273
218,"St. Louis County (West) PUMA, MO",117669958.73564793,Surgeons,852168578.1428573,571660495.1726127
219,"Annandale, West Falls Church & Bailey's Crossroads PUMA, VA",117583175.4879718,Dentists,576255260.1869159,258225172.68799314
220,"Milpitas & San Jose (Northeast) Cities PUMA, CA",117577245.88244766,Radio & telecommunications equipment installers & repairers,739039512.8516128,89527424.52722444
221,"Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",117329554.16286144,Chemical engineers,645609520.1758242,193520353.50678676
222,"Dutchess County (North & East) PUMA, NY",117303730.17552818,Producers & directors,1351998168.0,131553561.66417725
