,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation
636,"Oxon Hill, Hillcrest Heights & Temple Hills PUMA, MD",48421.229347136774,Financial managers,226804.1424418605,92038.95558870002
637,"Worcester County (South) PUMA, MA",48396.27180303416,Other Physical Scientists,628120.1441441441,73811.74773838854
638,"Farragut Town PUMA, TN",48395.2752270482,Surgeons,445762.6666666667,282720.32402206364
639,"Berkeley & Albany Cities PUMA, CA",48366.535108326956,"Communications equipment operators, all other",243143.27777777775,36114.60724000583
640,"Merrimack County (Central)Concord City PUMA, NH",48360.40861361558,Commercial and industrial designers,531875.9322033898,64670.474974791454
641,"East Flatbush, Farragut & Rugby PUMA, NY",48351.25088125222,Human resources managers,523322.6939890711,72391.03540336741
642,"Dallas (Far North) & Richardson (Southwest) Cities PUMA, TX",48323.80122740404,Magnetic resonance imaging technologists,474129.4285714286,100650.60025262598
643,"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA",48310.78257007939,Financial analysts,572399.8222222222,99633.71762472302
644,"Kenosha County PUMA, WI",48310.33095713152,"Miscellaneous engineers, including nuclear engineers",444749.60869565216,86422.79194750793
645,"Northwest Las Vegas Valley PUMA, NV",48299.9361200842,"Lawyers, & judges, magistrates, & other judicial workers",323943.07867132867,124478.50814810928
646,"Rochester City PUMA, MN",48294.20307067569,Surgeons,493378.26548672566,282720.32402206364
647,"Henderson City (West) PUMA, NV",48277.58005375669,"Meeting, convention, & event planners",467037.7272727273,36565.28803457047
648,"Ewa PUMA, HI",48274.29842457593,Facilities managers,156016.93181818182,63234.3637466893
649,"Portage Park, Dunning & Jefferson Park PUMA, IL",48261.27735123322,Surgeons,550111.7101449275,282720.32402206364
650,"Bellevue City PUMA, NE",48246.44541682245,"Subway, streetcar, & other rail transportation workers",435631.7419354839,47802.9807478361
651,"LA City (Northwest/Encino & Tarzana) PUMA, CA",48245.305896675236,Other Physical Scientists,572399.8,73811.74773838854
652,"Kendall & Grundy Counties PUMA, IL",48230.46729905516,Credit counselors & loan officers,550111.7037037037,67871.33144378143
653,"Phoenix (Far North) & Peoria (Northwest) Cities PUMA, AZ",48174.80604129415,Counter & rental clerks,202619.4084507042,21224.121135503043
654,"Petaluma, Rohnert Park & Cotati Cities PUMA, CA",48166.51265863051,"Securities, commodities, & financial services sales agents",202619.40331491712,116457.02855852002
655,"Fallbrook, Alpine & Valley Center PUMA, CA",48155.54863159119,Other Physical Scientists,572399.8260869565,73811.74773838854
656,"Ocean City & Somers Point City PUMA, NJ",48142.34160175427,Financial analysts,645342.8,99633.71762472302
657,"River Parishes PUMA, LA",48128.82953535633,Firstline supervisors of police & detectives,393081.6285714286,72515.40418093909
658,"Seminole County (West) PUMA, FL",48126.890858024046,Dentists,482234.1860465116,127707.80053807772
659,"Cambridge City PUMA, MA",48115.187182924645,Dentists,291135.9708029197,127707.80053807772
660,"Flushing, Murray Hill & Whitestone PUMA, NY",48050.9749867097,Other financial specialists,433935.5429864253,98080.72862112064
661,"St. Tammany Parish (Northwest) PUMA, LA",47987.614809963045,Financial analysts,393081.6271186441,99633.71762472302
662,"South of US-59, West of I-45 & Inside Loop I-610 PUMA, TX",47982.04927331259,Other financial specialists,474129.41818181815,98080.72862112064
663,"St. Charles County (Northwest) PUMA, MO",47969.44016122192,Aircraft pilots & flight engineers,421448.3595505618,115613.87787785068
664,"Guilford, Roland Park & Druid Lake PUMA, MD",47964.75150347055,Architectural & engineering managers,508574.6666666667,134098.2588754237
665,"Hillsborough County (Northwest) PUMA, FL",47961.42946340943,Other financial specialists,482234.1666666667,98080.72862112064
666,"Revere, Chelsea & Winthrop Town Cities PUMA, MA",47946.81076715363,Chief executives & legislators,628120.1481481482,141283.83645852594
667,"Thomas Jefferson Planning District Commission (South & East) PUMA, VA",47939.5318311667,"Agents & business managers of artists, performers, & athletes",506548.5037037037,52365.18566942112
668,"Davenport City PUMA, IA",47923.651797418934,Insurance sales agents,364963.61010830326,53854.68649385349
669,"Bridgeton City PUMA, NJ",47902.72325080085,Surgeons,427565.90769230766,282720.32402206364
670,"Ashburn, Washington Heights, Morgan Park & Beverly PUMA, IL",47897.34208595423,Financial analysts,550111.6842105263,99633.71762472302
671,"Milwaukee County (South) PUMA, WI",47890.46931554927,"Property, real estate, & community association managers",444749.6,50731.530055109695
672,"Arden-Arcade, Carmichael & Fair Oaks (West) PUMA, CA",47890.013764661526,Physicians,236782.89154929575,206831.79290917717
673,"Arapahoe (East) & Adams (East) CountiesAurora City (Northeast) PUMA, CO",47871.94809593747,"Lawyers, & judges, magistrates, & other judicial workers",372404.98245614034,124478.50814810928
674,"Lakeside, Winter Gardens & Ramona PUMA, CA",47849.681635833105,Marketing managers,572399.8,84553.35115257063
675,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA, CT",47813.71099497246,Facilities managers,198567.0188679245,63234.3637466893
676,"Cobb County (Northwest)Kennesaw & Acworth Cities PUMA, GA",47802.17491693615,Other teachers and instructors,318197.38241758244,27488.37442010176
677,"Aberdeen & Havre de Grace Cities PUMA, MD",47793.45260183576,Aerospace engineers,162095.51315789475,93327.5642780684
678,"Plainfield & Lockport Townships PUMA, IL",47771.44751304055,"Inspectors, testers, sorters, samplers, & weighers",214604.90277777775,35233.93772157667
679,"Austin City (Central) PUMA, TX",47770.82568859064,Physicians,402727.4683098592,206831.79290917717
680,"Irvington, Ten Hills & Cherry Hill PUMA, MD",47746.71650406001,Surgeons,508574.6896551724,282720.32402206364
681,"Jacksonville City (Beaches) PUMA, FL",47725.879779417584,Graphic designers,253274.2608695652,38353.11703256923
682,"Pasco County (South) PUMA, FL",47644.623986574436,Sales managers,325662.1774647887,106611.873312147
683,"Will County (South) PUMA, IL",47642.9118480838,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",180331.2577319588,26789.74188062917
684,"Chicopee City PUMA, MA",47579.22840209044,Physician assistants,628120.1304347826,92251.10058815022
685,"Marysville & Arlington Cities PUMA, WA",47552.40108513812,Personal financial advisors,298302.3040540541,110943.36940078795
686,"Bristol, Southington & Burlington Towns PUMA, CT",47540.46473401606,Construction managers,253274.25714285715,61965.46836887661
687,"Irvine City (Central) PUMA, CA",47522.038281530884,Surgeons,572399.8228782287,282720.32402206364
688,"Raleigh City (South & Central) PUMA, NC",47520.2149619126,Dentists,418409.0740740741,127707.80053807772
689,"Anchorage Municipality (North) PUMA, AK",47515.432775135836,Project management specialists,444749.5802469136,85846.81864248517
690,"Koolaupoko PUMA, HI",47493.49370899291,Surgeons,408278.0975609756,282720.32402206364
691,"Palm Beach Gardens & Riviera Beach Cities PUMA, FL",47492.98698519392,Actuaries,482234.1941747573,131082.8818200338
692,"Spring Valley, Suffern Villages & Monsey PUMA, NY",47490.74813419703,Parts salespersons,668644.0,31610.204685323344
693,"Plano City (Central) PUMA, TX",47488.39289351979,"Miscellaneous engineers, including nuclear engineers",251430.191011236,86422.79194750793
694,"Somerville & Everett Cities PUMA, MA",47449.55260603715,Nurse anesthetists,212750.3698630137,137847.88905761446
695,"Omaha City (Northwest) PUMA, NE",47424.016957396794,Physicians,358094.15351812367,206831.79290917717
696,"Jacksonville City (Southeast River) PUMA, FL",47422.55232207426,Radiologic technologists and technicians,292600.8333333333,56736.64149052558
697,"Palm Beach County (West of Boca Raton City) PUMA, FL",47421.221053656016,Public relations and fundraising managers,276910.0,74606.32962434617
698,"Asheville City PUMA, NC",47409.814963778765,"Securities, commodities, & financial services sales agents",418409.08,116457.02855852002
699,"Sullivan & Ulster (West) Counties PUMA, NY",47388.4109469355,Social & community service managers,316322.4238410596,53910.81155826022
700,"Cedar Rapids City PUMA, IA",47387.929022967764,Supervisors of transportation & material moving workers,409291.1961722488,46180.44061832814
701,"Commerce City & Brighton Cities PUMA, CO",47359.703001232556,Audiologists,504522.3243243243,61989.37370088788
702,"Whittier City & Hacienda Heights PUMA, CA",47355.36159949307,"Miscellaneous first-line supervisors, protective service workers",572399.8232044199,56702.29217997607
703,"Claremore City PUMA, OK",47352.18755459993,Physicians,418409.061452514,206831.79290917717
704,"Sharonville, Blue Ash, Springdale & Reading Cities PUMA, OH",47343.84963359944,Surgeons,437657.9145907473,282720.32402206364
705,"Hanover & Schaumburg (Northwest) Townships PUMA, IL",47287.282381762576,Architectural & engineering managers,550111.68,134098.2588754237
706,"Orange County (Northwest) PUMA, NY",47286.67223656844,Surgeons,481600.1156462585,282720.32402206364
707,"Proviso, Riverside & River Forest Townships PUMA, IL",47284.62398198337,"Legal support workers, all other",550111.6962025317,51851.69868932738
708,"New Carrollton & Hyattsville (Southeast) Cities PUMA, MD",47279.21014328667,Physicians,508574.679245283,206831.79290917717
709,"Coral Springs & Parkland Cities PUMA, FL",47277.575105338015,Aircraft pilots & flight engineers,288502.4015151515,115613.87787785068
710,"Carson City PUMA, CA",47263.59816911965,Athletes and sports competitors,324191.0181818182,46411.686201251
711,"Ocean County (South) PUMA, NJ",47260.947655491065,Physician assistants,645342.8205128205,92251.10058815022
712,"Fullerton & Placentia Cities PUMA, CA",47244.978191928494,Architectural & engineering managers,272441.5254237288,134098.2588754237
713,"Howard Beach & Ozone Park PUMA, NY",47235.571228425804,Other assemblers and fabricators,469453.5512820513,28336.09847510464
714,"Rancho Cordova City PUMA, CA",47223.228959186024,Magnetic resonance imaging technologists,314060.0634920635,100650.60025262598
715,"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA, CA",47214.51179681758,Nurse practitioners & nurse midwives,212750.3698630137,87225.35349109002
716,"Rock Hill City & Fort Mill Town PUMA, SC",47200.36607567532,Physician assistants,426513.85074626864,92251.10058815022
717,"DeKalb County (Northeast)Tucker PUMA, GA",47199.453836239096,Millwrights,477168.7010309278,50292.34811300116
718,"Kernersville Town & Clemmons Village PUMA, NC",47195.3934428688,Radiologic technologists and technicians,418409.0606060606,56736.64149052558
719,"Farmington & Southfield Area PUMA, MI",47165.62756135485,Veterinarians,432592.4126984127,84868.11662911795
720,"Baton Rouge City PUMA, LA",47164.86386040441,"Human resources assistants, except payroll & timekeeping",393081.6344086021,34415.54164961781
721,"McHenry County (North, West & Central) PUMA, IL",47149.18269218789,"Sales representatives of services, except advertising, insurance, financial services, and travel",243980.4835164835,75405.68465396445
722,"Thurston County (Outer) PUMA, WA",47131.59677321626,Physicians,220206.3146067416,206831.79290917717
723,"Oregon City, Milwaukie & Happy Valley Cities PUMA, OR",47116.99000469548,Firstline supervisors of nonretail sales workers,245804.0035587189,70776.29211066732
724,"Washoe County (South) PUMA, NV",47050.66322512403,Dentists,467037.7142857143,127707.80053807772
725,"Garner (South) & Fuquay-Varina Towns PUMA, NC",46997.47482171626,"Securities, commodities, & financial services sales agents",418409.0746268657,116457.02855852002
726,"Hempstead Town (North Central)Meadowbrook Corridor PUMA, NY",46991.99055874062,Coaches and scouts,299596.4893617021,23108.58017214645
727,"Kent County (North) PUMA, MI",46973.3929499958,Sales managers,283853.9375,106611.873312147
728,"St. Petersburg City (East) PUMA, FL",46972.08741617546,Optometrists,482234.1754385965,91038.6455644665
729,"Westminster, Stanton & Garden Grove (West) Cities PUMA, CA",46966.95642173095,Electrical & electronics engineers,263405.2287581699,86776.8579969871
730,"Montgomery County (West)Conroe City (West) PUMA, TX",46960.63973261365,Physicians,360356.6867924528,206831.79290917717
731,"Lindenwold & Collingswood Boroughs PUMA, NJ",46943.646474462665,Manicurists and pedicurists,353408.5612244898,16111.591951102404
732,"Graham, Elk Plain & Prairie Ridge PUMA, WA",46932.962623878026,Industrial production managers,228959.92307692303,77305.98243070339
733,"Carroll County PUMA, MD",46912.50027335921,Dentists,190089.45774647887,127707.80053807772
734,"Colorado Springs City (West) PUMA, CO",46912.20695777173,Surgeons,504522.3209876543,282720.32402206364
735,"Bushwick PUMA, NY",46903.739343762296,"Educational, guidance, and career counselors and advisors",361139.2764705882,42271.27930216287
736,"Greater Seminole City PUMA, FL",46902.25075915819,Physicians,310996.577689243,206831.79290917717
737,"Bakersfield City (West) PUMA, CA",46900.64101199484,Financial analysts,572399.7887788779,99633.71762472302
738,"Bloomington & Richfield Cities PUMA, MN",46885.86731987993,Architectural and civil drafters,164121.72727272726,47426.37505773672
739,"Port Richmond, Stapleton & Mariner's Harbor PUMA, NY",46875.358050974144,Fundraisers,176278.88333333333,52283.03605469805
740,"Pima County (Northeast) PUMA, AZ",46870.017518640154,Surgeons,417395.9607843137,282720.32402206364
741,"Randallstown (East), Owings Mills, Milford Mill & Reisterstown PUMA, MD",46865.67153847429,Veterinarians,283667.1703703704,84868.11662911795
742,"Livingston & St. Helena Parishes PUMA, LA",46858.26807594684,Sales managers,393081.6428571429,106611.873312147
743,"Napa City PUMA, CA",46850.12957725368,Computer network architects,572399.8285714285,95432.99220300168
744,"Miami Beach City & Miami Shores Village PUMA, FL",46837.99495998148,Other information and records clerks,233012.31914893616,27589.80015808264
745,"Spring Valley & Summerlin South PUMA, NV",46808.10374575016,Surgeons,467037.7391304348,282720.32402206364
746,"Elgin (North & Central) & Dundee Townships PUMA, IL",46773.86934769214,"Securities, commodities, & financial services sales agents",550111.6666666666,116457.02855852002
747,"Longmont City & Erie Town PUMA, CO",46763.314153013926,Physicians,258585.6352288488,206831.79290917717
748,"Charlotte City (Central) PUMA, NC",46727.98978270244,"Securities, commodities, & financial services sales agents",234995.57627118644,116457.02855852002
749,"Greensboro City (North) PUMA, NC",46717.142937567616,Commercial and industrial designers,418409.08,64670.474974791454
750,"Livingston County PUMA, MI",46705.09170449534,Aircraft pilots & flight engineers,281064.5402298851,115613.87787785068
751,"Milwaukee County (West) PUMA, WI",46701.16486548322,Other financial clerks,444749.6068376068,76459.69278730197
752,"Kettering & Centerville Cities PUMA, OH",46659.08437020963,Surgeons,437657.9189189189,282720.32402206364
753,"Rosenberg City, Pecan Grove & New Territory PUMA, TX",46646.385561321404,Physician assistants,253274.253968254,92251.10058815022
754,"Vancouver (East), Camas & Washougal Cities PUMA, WA",46638.69834219495,Physicians,288187.1538461539,206831.79290917717
755,"Northern Shenandoah Valley Regional Commission (North) PUMA, VA",46613.024683504336,Surgeons,506548.4952380952,282720.32402206364
756,"Durham City (South) PUMA, NC",46558.97271287258,Surgeons,418409.07692307694,282720.32402206364
757,"Ocean County (Northwest) PUMA, NJ",46543.68571557345,Optometrists,303929.0950226244,91038.6455644665
758,"San Jose City (East Central/East Valley) PUMA, CA",46514.89648131885,Sales managers,202619.41176470587,106611.873312147
759,"El Paso City (Northwest) PUMA, TX",46482.65924195255,Magnetic resonance imaging technologists,474129.3898305085,100650.60025262598
760,"El Cajon & Santee Cities PUMA, CA",46479.12911343647,Magnetic resonance imaging technologists,572399.8279569893,100650.60025262598
761,"Columbia County PUMA, GA",46478.96658883746,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",253274.25,30445.47264440623
762,"Spanish Fork, Springville, Lehi (Northeast) & Highland Cities PUMA, UT",46466.34262651234,Operations research analysts,425500.7594936709,72711.06132234662
763,"Everett City (Central & East) & Eastmont PUMA, WA",46437.86348295831,Physicians,527823.5744680851,206831.79290917717
764,"Glendale City PUMA, CA",46421.99802789959,Physicians,268986.3017857143,206831.79290917717
765,"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, MA",46416.31832098864,Mechanical engineers,628120.1132075472,77923.2754670551
766,"Saratoga Springs, Payson & Lehi (Southwest) Cities PUMA, UT",46387.43906437229,Chief executives & legislators,242402.4782608696,141283.83645852594
767,"Natrona, Carbon & Converse Counties PUMA, WY",46351.20051565147,Surgeons,503509.2179930796,282720.32402206364
768,"Chino & Chino Hills Cities PUMA, CA",46348.53517292343,Industrial production managers,276132.67549668875,77305.98243070339
769,"Corona (Northwest) & Norco Cities PUMA, CA",46338.907436013775,Other financial clerks,572399.8064516129,76459.69278730197
770,"Clovis City PUMA, CA",46333.0682114925,Insurance sales agents,222881.34782608692,53854.68649385349
771,"Macomb County (North) PUMA, MI",46306.77694251092,Industrial & refractory machinery mechanics,432592.4188481675,44134.840626734825
772,"Far Southeast New Mexico PUMA, NM",46259.40677554578,Project management specialists,349518.48175182485,85846.81864248517
773,"Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",46259.15460616388,Real estate brokers & sales agents,208860.63636363635,43001.75341421511
774,"Vancouver City (West & Central) PUMA, WA",46245.963729834286,Sheet metal workers,527823.5698924732,35902.77781309052
775,"Westfield & Holyoke Cities PUMA, MA",46237.825644515455,Environmental engineers,628120.1379310344,71953.92582655714
776,"New London County (North) PUMA, CT",46223.03191760512,Physicians,212750.3779527559,206831.79290917717
777,"Sacramento City (Central/Downtown & Midtown) PUMA, CA",46215.68960611789,Physician assistants,572399.7966101695,92251.10058815022
778,"Layton, Clearfield, Kaysville, Syracuse & Clinton Cities PUMA, UT",46206.34469178563,Dentists,425500.7450980392,127707.80053807772
779,"Denton City (Outer) PUMA, TX",46178.697009606854,Chiropractors,316086.2745098039,58929.317817604286
780,"Beaverton City (West) & Aloha PUMA, OR",46177.9484956568,Surgeons,413343.5652173913,282720.32402206364
781,"Disney-International Drive Region PUMA, FL",46177.47797244716,Dentists,289288.9294478528,127707.80053807772
782,"North of I-30 PUMA, TX (79500US4802509)",46173.06307346743,Dishwashers,345853.34911242605,9084.450009043796
783,"Outer Cape Cod Towns PUMA, MA",46166.64514264198,Personal financial advisors,628120.109375,110943.36940078795
784,"Bismarck City PUMA, ND",46157.065953931604,Home health aides,407264.992481203,17849.767202998682
785,"James City, York Counties, Williamsburg & Poquoson Cities PUMA, VA",46153.10164892181,Physicians,223651.85714285716,206831.79290917717
786,"North Little Rock, Sherwood & Jacksonville Cities PUMA, AR",46147.19606264141,Veterinarians,427526.9493670886,84868.11662911795
787,"Palmdale City PUMA, CA",46143.761028170775,Marketing managers,572399.8095238095,84553.35115257063
788,"Moore & Montgomery Counties PUMA, NC",46095.94809601194,Dentists,418409.0693069307,127707.80053807772
789,"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties PUMA, VA",46077.28219931583,Construction & building inspectors,506548.5090909091,43128.22957442338
790,"Auburn City & Lakeland PUMA, WA",46073.66141434754,Insurance sales agents,303929.1,53854.68649385349
791,"Outagamie County PUMA, WI",46066.591642259446,Dentists,444749.5944055944,127707.80053807772
792,"Galt, Isleton Cities & Delta Region PUMA, CA",46056.37483203044,Physicians,253274.2542372881,206831.79290917717
793,"Paradise (South) & Enterprise PUMA, NV",46048.18185144152,Magnetic resonance imaging technologists,467037.70588235295,100650.60025262598
794,"Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA, TX",46036.33857356076,Cardiovascular technologists and technicians,474129.4166666667,76805.666221549
795,"Sherburne & Benton Counties PUMA, MN",46033.98118011747,Physicians,493378.2365591398,206831.79290917717
796,"Windsor Town, Healdsburg & Sonoma Cities PUMA, CA",46025.60560843017,Physicians,322574.0104321908,206831.79290917717
797,"Sandy (North), Cottonwood Heights & Midvale Cities PUMA, UT",46020.046034413186,Aircraft pilots & flight engineers,425500.7428571429,115613.87787785068
798,"Downriver Area (South) PUMA, MI",46006.12064325075,Training & development managers,182357.4512195122,66052.19979468547
799,"Ottawa County (East) PUMA, MI",46001.8174164001,Civil engineers,326732.4232081911,78192.060073669
800,"Schaumburg Township (South & Central) PUMA, IL",46001.32525915629,"Lawyers, & judges, magistrates, & other judicial workers",182327.4911242604,124478.50814810928
801,"Perris City, Temescal Valley & Mead Valley PUMA, CA",45996.79025371626,Crane & tower operators,572399.8139534884,52157.03533231164
802,"Waukesha County (Central) PUMA, WI",45961.20441622111,Actuaries,272760.9268292683,131082.8818200338
803,"St. Johns County (North) PUMA, FL",45942.79364481779,Physicians,278680.1148387097,206831.79290917717
804,"South of Aldine & Inside Beltway TX-8 PUMA, TX",45939.830341072324,Physicians,474129.392,206831.79290917717
805,"San Diego City (Southwest/Central Coastal) PUMA, CA",45921.956851621144,Physicians,292451.1053398058,206831.79290917717
806,"Gwinnett County (East) PUMA, GA",45911.94996336064,Firstline supervisors of fire fighting & prevention workers,227946.83783783784,79095.65843796109
807,"Miramar (West) & Pembroke Pines (Southwest) Cities PUMA, FL",45901.05778146647,Physicians,195027.70534069985,206831.79290917717
808,"Bartlett (North & East) & Millington Cities PUMA, TN",45900.97024662712,Aircraft pilots & flight engineers,445762.7008547009,115613.87787785068
809,"Catonsville, Woodlawn & Arbutus PUMA, MD",45885.90453440874,"Medical scientists, & life scientists, all other",256313.54761904763,79977.46222023785
810,"St. Louis County (Inner Ring South) PUMA, MO",45880.76225015661,Actuaries,421448.3448275862,131082.8818200338
811,"LA City (Central/West Adams & Baldwin Hills) PUMA, CA",45872.819022708114,Magnetic resonance imaging technologists,572399.8309859155,100650.60025262598
812,"Lancaster City PUMA, CA",45872.04529426561,Industrial production managers,407075.73626373627,77305.98243070339
813,"Portland City (North & Northeast) PUMA, OR",45865.4066969761,Music directors and composers,243143.29268292684,34240.47854996907
814,"Central Oahu PUMA, HI",45859.88406965936,Credit counselors & loan officers,408278.1052631579,67871.33144378143
815,"Avon, Avon Lake & North Ridgeville Cities PUMA, OH",45859.23844610739,Public relations and fundraising managers,437657.9117647059,74606.32962434617
816,"Kennewick & Richland (South) Cities PUMA, WA",45857.48129183886,Physicians,453619.9178644764,206831.79290917717
817,"Chatham County (East & Outside Savannah City) PUMA, GA",45832.238837037636,Surgeons,477168.6774193549,282720.32402206364
818,"Santa Rosa City PUMA, CA",45820.8519694679,Chief executives & legislators,329408.86842105264,141283.83645852594
819,"Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA, MN",45816.41526278855,Chief executives & legislators,289610.7439165701,141283.83645852594
820,"Lynn City, Swampscott & Nahant Towns PUMA, MA",45800.16482615102,Chief executives & legislators,282990.138424821,141283.83645852594
821,"Montgomery County (Northeast)Conroe City (East) PUMA, TX",45772.923218523516,Aircraft pilots & flight engineers,474129.40890688257,115613.87787785068
822,"Hershey PUMA, PA",45772.181642025964,Reservation & transportation ticket agents & travel clerks,492365.1698113208,33710.41897704174
823,"Lakewood City (South) & Dakota Ridge PUMA, CO",45754.61475711727,Compensation & benefits managers,504522.2933333333,78976.88495217955
824,"San Antonio City (North), Hollywood Park Town & Shavano Park City PUMA, TX",45734.1870319378,"Transportation, storage, & distribution managers",474129.4146341463,53695.69069794224
825,"Eastlake, Wickliffe, Willoughby & Willowick Cities PUMA, OH",45701.12695431855,Physicians,437657.90476190473,206831.79290917717
826,"Allen County (Outside Fort Wayne City) PUMA, IN",45699.07880174135,Magnetic resonance imaging technologists,417395.9682539682,100650.60025262598
827,"Denver City (Northeast) PUMA, CO",45691.11203814144,"Securities, commodities, & financial services sales agents",293931.6727272728,116457.02855852002
828,"Henry County (North)Stockbridge City PUMA, GA",45678.44454834092,Magnetic resonance imaging technologists,253274.2553191489,100650.60025262598
829,"Coweta County PUMA, GA",45664.49525807009,Other financial clerks,316645.5729166667,76459.69278730197
830,"Liberty & Chambers Counties PUMA, TX",45652.199250105004,Transportation inspectors,474129.4,49656.38642631887
831,"Phoenix City (Uptown) PUMA, AZ",45646.04932496417,Electrical & electronics engineers,417395.9779005525,86776.8579969871
832,"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA, CA",45635.31252427805,"Production, planning, & expediting clerks",572399.8,43460.926789749006
833,"San Diego City (Central/Mira Mesa & University Heights) PUMA, CA",45628.437425112534,Photographic process workers & processing machine operators,303929.08108108107,30965.833870049184
834,"Santa Cruz City PUMA, CA",45621.900386609566,Financial analysts,443176.07446808513,99633.71762472302
835,"San Marcos & Escondido (West) Cities PUMA, CA",45609.29760741646,"Lawyers, & judges, magistrates, & other judicial workers",354026.58899676375,124478.50814810928
836,"Alachua County (Outer) PUMA, FL",45608.118795403985,Sales engineers,482234.1923076923,108780.47602985433
837,"Hendricks County PUMA, IN",45608.10021810656,Heavy vehicle & mobile equipment service technicians & mechanics,336951.2056892779,44733.34179050102
838,"Hemet City & East Hemet PUMA, CA",45603.670979697854,Diagnostic medical sonographers,572399.8208955224,73862.48732493505
839,"Columbus (North), Westerville & Worthington Cities PUMA, OH",45603.640188696576,Aircraft pilots & flight engineers,437657.89830508473,115613.87787785068
840,"Ankeny & Altoona Cities PUMA, IA",45596.998186501696,Insurance sales agents,409291.1801242236,53854.68649385349
841,"Moanalua to Pearl City PUMA, HI",45594.34619646306,Computer systems analysts,194101.52427184465,77237.25612018259
842,"Davis, Woodland & West Sacramento Cities PUMA, CA",45585.70813763382,Aircraft pilots & flight engineers,371645.018404908,115613.87787785068
843,"Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA, MN",45585.0202378012,Physicians,367475.2014787431,206831.79290917717
844,"Kent CountyWarwick City PUMA, RI",45566.89192238288,Surgeons,217393.73214285716,282720.32402206364
845,"East of I-35W & West of US-377 PUMA, TX",45497.96178684271,Aircraft pilots & flight engineers,278584.6,115613.87787785068
846,"LA City (North Central/Granada Hills & Sylmar) PUMA, CA",45481.234810631286,"Architects, except landscape and naval",259352.83783783784,77911.62260282584
847,"Hillsboro City PUMA, OR",45462.70589184027,Financial managers,292026.3561643836,92038.95558870002
848,"Portland, South Portland & Westbrook Cities PUMA, ME",45455.706523684734,Chemical engineers,360662.51851851854,95707.39540394994
849,"Medina County PUMA, OH",45441.18562841041,Personal financial advisors,270175.3422562141,110943.36940078795
850,"Oklahoma City (Central) PUMA, OK",45432.33895789757,Chief executives & legislators,418409.08,141283.83645852594
851,"Bainbridge Island City & Silverdale PUMA, WA",45419.885174990195,Aircraft pilots & flight engineers,179919.3836065574,115613.87787785068
852,"Randall CountyAmarillo City (South) PUMA, TX",45409.86793576343,Dentists,474129.4117647059,127707.80053807772
853,"Lincoln City (South) PUMA, NE",45407.448849284876,Medical & health services managers,435631.72602739726,74643.1976723827
854,"Lewisville City PUMA, TX",45350.741158705525,"Petroleum, mining & geological engineers, including mining safety engineers",263405.21348314604,121965.87102455912
855,"Lafayette Parish (South) PUMA, LA",45341.56183772432,Firstline supervisors of housekeeping & janitorial workers,192488.43859649124,30437.467101766862
856,"Collier County (Northwest) PUMA, FL",45303.410589252904,Purchasing managers,482234.1791044776,74013.09656763387
857,"Cecil County PUMA, MD",45299.68762697469,Physicians,377443.1,206831.79290917717
858,"Santa Maria City & Orcutt PUMA, CA",45288.37838064628,Physicians,261225.13924050637,206831.79290917717
859,"Mack & Dent PUMA, OH",45287.34224588267,Magnetic resonance imaging technologists,437657.8992805755,100650.60025262598
860,"Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA, AZ",45283.050041677794,Industrial production managers,417395.9636363636,77305.98243070339
861,"Portage County PUMA, OH",45274.786472072985,Market research analysts & marketing specialists,437657.9142857143,67737.87609580542
862,"Damascus City PUMA, OR",45274.41664529754,Logging workers,413343.5652173913,20549.95076797113
863,"Comal County PUMA, TX",45274.137967816496,Civil engineers,474129.4084507042,78192.060073669
864,"Cobb County (Central)Marietta City PUMA, GA",45224.546189091365,Public relations specialists,393612.1577287066,65890.44220114923
865,"St. Louis City (South) PUMA, MO",45213.47499556865,Computer hardware engineers,421448.3274853801,91131.80557198216
866,"Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA, PA",45209.9695068069,"Inspectors, testers, sorters, samplers, & weighers",492365.1428571429,35233.93772157667
867,"Monterey (South & East) & San Benito Counties PUMA, CA",45183.15522478777,Computer hardware engineers,572399.8285714285,91131.80557198216
868,"Rappahannock-Rapidan Regional Commission PUMA, VA",45173.58355333938,Sales managers,239208.2288135593,106611.873312147
869,"Columbia & Greene Counties PUMA, NY",45164.267790287224,Social & community service managers,311278.5194346289,53910.81155826022
870,"Thornton & Federal Heights Cities PUMA, CO",45149.72693728047,Sales managers,230790.4090909091,106611.873312147
