,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
997,"Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA, MA",51884.40821680912,Graphic designers,326263.2840909091,38353.11703256923,5.151248304371838
1841,"Roselle Park Borough PUMA, NJ",51869.49111481075,Chief executives & legislators,296388.8702290076,141283.83645852594,4.905136328872633
2166,"Tolland County PUMA, CT",51867.5163277874,"Lawyers, & judges, magistrates, & other judicial workers",269037.8611111111,124478.50814810928,5.148632504037846
1604,"Orange County (Southeast) PUMA, NY",51855.311612102894,Computer & information systems managers,252127.1375661376,102527.2721576413,4.927302337071275
1726,"Plymouth & Bristol Counties (Outside Brockton City) PUMA, MA",51834.51536807591,Surgeons,628120.126984127,282720.32402206364,5.0416788034022675
1974,"Simi Valley City PUMA, CA",51811.238236085264,Computer & information systems managers,360689.5466666667,102527.2721576413,5.031933186641414
2077,"St. Louis County (South) PUMA, MO",51802.46406549236,Physicians,307238.7053364269,206831.79290917717,4.954730229773971
1194,"Las Vegas (Northeast) & North Las Vegas (Outer) Cities PUMA, NV",51728.23749319608,"Title examiners, abstractors, and searchers",467037.7368421053,48875.86334200142,4.9214542251933695
2174,"Towson (East & Central), Parkville & Carney PUMA, MD",51720.888280730054,Insurance sales agents,351051.5398230089,53854.68649385349,5.204787985230225
787,"Geauga & Lake (South) Counties PUMA, OH",51720.53024078214,Physician assistants,437657.9117647059,92251.10058815022,4.859593329262596
1802,"Renton City, Fairwood, Bryn Mawr & Skyway PUMA, WA",51692.17256648178,Training & development specialists,303929.0967741936,51927.48752447238,5.12482794907614
2126,"Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, WA",51644.56980355901,Other Sales Workers,258468.03493449785,46439.11797243441,5.28569847606402
966,"Hoover (North), Vestavia Hills & Homewood Cities PUMA, AL",51636.99905165842,Information security analysts,396120.9203539823,99255.28312032484,5.027118590410087
1005,"Indian Trail & Stallings Towns PUMA, NC",51607.50646626226,Broadcast announcers and radio disc jockeys,418409.0714285714,47494.13361466179,5.014514443093235
2105,"Sugar Land & Stafford Cities PUMA, TX",51587.901405351775,Construction managers,317114.9423076923,61965.46836887661,4.952341161443484
1569,"Oakland County (Southwest) PUMA, MI",51561.082891519734,Dentists,432592.4028776978,127707.80053807772,4.848903410228787
1882,"San Buenaventura (Ventura) City PUMA, CA",51539.654098371684,Other Physical Scientists,572399.8333333334,73811.74773838854,4.952656957115941
1197,"Las Vegas City (Southwest) PUMA, NV",51533.806071014376,Dietitians & nutritionists,467037.72093023255,39096.582625035946,4.928989256562433
366,"Charlotte City (Southwest) PUMA, NC",51518.98333821952,Dentists,418409.0740740741,127707.80053807772,4.981442879611699
723,"Folsom City, Orangevale & Fair Oaks (East) PUMA, CA",51471.59457472951,Architectural & engineering managers,572399.8325123152,134098.2588754237,4.8107751789572974
1245,"Little Rock City PUMA, AR",51452.580661053646,Computer network architects,427526.9523809524,95432.99220300168,4.992724951110675
1700,"Phoenix City (Northeast) PUMA, AZ",51431.577697943365,"Architects, except landscape and naval",417395.9696969697,77911.62260282584,4.9097925387940515
956,"Hillsborough County (Western) PUMA, NH",51427.880069140985,Dentists,531875.9349593496,127707.80053807772,4.999415980096142
1630,"Overland Park (North), Prairie Village & Merriam Cities PUMA, KS",51390.12896297678,"Agents & business managers of artists, performers, & athletes",444749.58974358975,52365.18566942112,5.009074359941786
269,"Burlington County (South & East) PUMA, NJ",51386.28019343956,Personal financial advisors,358890.8502415459,110943.36940078795,5.253602458635274
2319,"Wheeling Township (North & East) PUMA, IL",51382.512340060195,"Sales representatives of services, except advertising, insurance, financial services, and travel",250892.6858638744,75405.68465396445,5.064897726639087
2368,"Yonkers City PUMA, NY",51359.427098186396,Construction managers,390468.4018691589,61965.46836887661,5.137932137501209
1628,"Outer Manchester City PUMA, NH",51350.81807915808,Physicians,338099.48076923075,206831.79290917717,5.140662352972032
1942,"Scottsdale City (Southwest) & Paradise Valley Town PUMA, AZ",51284.16000593692,Medical & health services managers,356824.0849514563,74643.1976723827,4.9924874043028336
226,"Briarwood, Fresh Meadows & Hillcrest PUMA, NY",51272.83283965411,Personal financial advisors,668644.0,110943.36940078795,4.83837766925599
1464,"Nashville-Davidson (Southwest) PUMA, TN",51243.130933108325,Other financial specialists,445762.676056338,98080.72862112064,5.060105710942136
2363,"Wright County PUMA, MN",51242.698937654764,"Lawyers, & judges, magistrates, & other judicial workers",493378.2471910112,124478.50814810928,4.93426546418179
1403,"Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, CA",51182.44706179292,Firstline supervisors of nonretail sales workers,328369.4884792627,70776.29211066732,4.913028862648489
504,"Crown Heights North & Prospect Heights PUMA, NY",51157.30388719296,Financial managers,224519.91594202895,92038.95558870002,5.02673796041012
1445,"Mukilteo & Everett (Southwest) Cities PUMA, WA",51149.5574629973,Human resources managers,321534.55113636365,72391.03540336741,5.095916905172833
2334,"Williamson County (Southeast)Round Rock City PUMA, TX",51142.503824766594,Chemical engineers,290291.24852071004,95707.39540394994,5.0557126906670815
1697,"Phoenix City (East) PUMA, AZ",51114.40846448812,"Miscellaneous engineers, including nuclear engineers",321092.47074468085,86422.79194750793,4.9313982121956865
1754,"Pottstown Borough PUMA, PA",51089.76035119458,"Securities, commodities, & financial services sales agents",492365.1538461539,116457.02855852002,5.048284558089644
611,"Eagan, Inver Grove Heights & South St. Paul Cities PUMA, MN",51081.05229321133,Other financial clerks,493378.2773722628,76459.69278730197,5.006645033511748
1868,"Salt Lake City (East) PUMA, UT",51061.48452667398,Biological technicians,425500.7468879668,41851.05012438324,4.986636356095559
1884,"San Diego (East Central/Navajo) & La Mesa Cities PUMA, CA",51052.759169440855,Firstline supervisors of fire fighting & prevention workers,235594.62978723404,79095.65843796109,5.152295719644168
1098,"Katy City (Northeast) PUMA, TX",51035.88171905363,Other psychologists,474129.4117647059,53563.49249437002,4.951538915407985
2282,"Wellington Village & Agricultural Reserve PUMA, FL",51020.6947182954,"Military, rank not specified",482234.19108280254,42402.01984131153,4.769081190936527
1284,"Macomb County (Central) PUMA, MI",50998.87147664208,Management analysts,285448.79802955664,71424.88393523055,4.940192816620113
890,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY",50918.60664492851,Surgeons,668644.0,282720.32402206364,4.505150899039325
1169,"Lake County (Central) PUMA, IN",50916.545759084096,Lodging managers,417395.9740259741,44643.67056716537,4.947745495728104
2081,"St. Mary's & Calvert Counties PUMA, MD",50893.70910221498,"Purchasing agents, except wholesale, retail, & farm products",197587.68452380956,52067.00708327911,5.234908448770352
2042,"Spring PUMA, TX",50893.28381761297,"Lawyers, & judges, magistrates, & other judicial workers",239950.4895104895,124478.50814810928,4.94129298905094
1060,"James River Region PUMA, VA",50859.3589439352,Advertising & promotions managers,506548.5048543689,68524.37743676595,4.94448078277063
1568,"Oakland County (Southeast) PUMA, MI",50858.76346301212,Veterinarians,432592.42553191487,84868.11662911795,5.177291095904689
515,"Dale City, Lake Ridge & Woodbridge PUMA, VA",50851.65301367197,"Human resources assistants, except payroll & timekeeping",435631.6948717949,34415.54164961781,5.364552847209426
2002,"South Miami City, Westchester & Coral Terrace PUMA, FL",50830.52930273826,Surgeons,482234.1935483871,282720.32402206364,4.855891925392718
290,"Canarsie & Flatlands PUMA, NY",50823.16386736564,Architectural & engineering managers,293798.1219512195,134098.2588754237,5.236754120892191
525,"Dane County (West) PUMA, WI",50774.081781964305,Surgeons,444749.5882352941,282720.32402206364,5.1369064448020945
1933,"Saratoga County (South & Central) PUMA, NY",50772.96512572997,"Securities, commodities, & financial services sales agents",668644.0,116457.02855852002,4.883974880827811
328,"Castaic PUMA, CA",50771.05492292653,Advertising & promotions managers,572399.7959183673,68524.37743676595,4.940531375092891
135,"Beaverton City (East & Central) & Cedar Mill PUMA, OR",50762.58487296935,Personal financial advisors,289718.7288888889,110943.36940078795,4.99370594981471
5,"Addison & Bloomingdale (North) Townships PUMA, IL",50744.241582684175,Physicians,361117.8037974684,206831.79290917717,5.003526425810878
517,"Dallas (North), Plano (South) & Richardson (North) Cities PUMA, TX",50685.10742406273,"Firstline supervisors of mechanics, installers, & repairers",474129.4084507042,55421.74534635547,4.9086987386150875
2223,"Virginia Beach City (North) PUMA, VA",50667.357595315225,Surgeons,448521.6945244957,282720.32402206364,5.060250642026229
128,"Bayside, Douglaston & Little Neck PUMA, NY",50662.58022182876,Photographers,202619.4105263158,18706.69295753645,5.0916593754388995
1201,"Laurel, Greenbelt (North & East) Cities & Beltsville PUMA, MD",50654.125689984525,Medical & health services managers,291962.2320441989,74643.1976723827,5.164154509598658
728,"Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA, OR",50636.55710863363,Architectural & engineering managers,315831.99215686275,134098.2588754237,4.9725276181753095
881,"Gwinnett County (West Central)Duluth City PUMA, GA",50590.207725588334,Broadcast announcers and radio disc jockeys,477168.69696969696,47494.13361466179,5.00957044497041
99,"Babylon Town (Southeast) PUMA, NY",50568.586637932145,"Securities, commodities, & financial services sales agents",356129.3474576271,116457.02855852002,4.954930115226743
2173,"Tottenville, Great Kills & Annadale PUMA, NY",50508.41150411101,Procurement clerks,233012.31666666668,54550.11160513914,5.008153046500009
188,"Bloomingdale (South), Wayne & Winfield (North) Townships PUMA, IL",50507.215090112746,Information security analysts,550111.6744186047,99255.28312032484,5.240736470186492
379,"Cherokee County (Outside Woodstock & Canton Cities) PUMA, GA",50484.281170278016,Physicians,477168.69333333336,206831.79290917717,4.930228990269213
268,"Burlington City PUMA, NJ",50440.31839360556,Paramedics,315073.15942028986,52015.679790635775,5.1679549161761615
271,"Burnsville & Apple Valley Cities PUMA, MN",50407.43865004794,"Personal care & service workers, all other ",327505.852398524,13793.519217580752,4.777275862767663
186,"Blaine, Lino Lakes & Ham Lake Cities PUMA, MN",50390.081028091525,Actuaries,493378.2417582418,131082.8818200338,4.865010651489697
76,"Auburn & Colfax Cities PUMA, CA",50388.36409883535,Dentists,572399.8241758242,127707.80053807772,4.791775017253672
1013,"Inner Harbor, Canton & Bayview PUMA, MD",50369.356163377386,Magnetic resonance imaging technologists,508574.6835443038,100650.60025262598,5.068586244320084
1836,"Rockingham County (Southern)Portsmouth City PUMA, NH",50355.07496635178,Physicians,420295.76247848535,206831.79290917717,5.220020303702841
204,"Boone County PUMA, KY",50341.08010177829,Ship & boat captains & operators,403212.5910652921,58756.26745002127,4.838115109281412
1797,"Redlands & Yucaipa Cities PUMA, CA",50320.52038733582,Insurance sales agents,496227.7622739018,53854.68649385349,4.917307698910022
246,"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA, CO",50261.1268009033,Surgeons,504522.2921348315,282720.32402206364,5.191932269558647
127,"Bayonne City, Kearney & Harrison Towns PUMA, NJ",50221.50885170334,"Securities, commodities, & financial services sales agents",287202.6734693877,116457.02855852002,5.1679366901816355
1708,"Pike & Washington (Northwest) TownshipsIndianapolis City (Northwest) PUMA, IN",50213.952055282396,Dentists,417395.9743589744,127707.80053807772,4.734052463162063
1950,"Seminole County (East) PUMA, FL",50204.926278290644,Aircraft pilots & flight engineers,387558.8472222223,115613.87787785068,5.021677491532376
2139,"Tantalus to Waikiki PUMA, HI",50147.89653307635,"Environmental scientists and specialists, including health",408278.1111111111,65728.77726596073,4.969779493375064
2248,"Washington & Ozaukee Counties PUMA, WI",50130.28471331507,Public relations specialists,444749.6071428572,65890.44220114923,5.127597557496538
1715,"Pittsburg & Concord (North & East) Cities PUMA, CA",50124.00398980889,"Media and communication workers, all other",572399.8095238095,45738.47699453552,4.897849928666661
1946,"Seattle City (Northeast) PUMA, WA",50119.87121878892,Computer and information research scientists,368806.2923076923,94807.30005530168,4.982176123887836
1777,"Raleigh City (Northeast), Wake Forest & Rolesville Towns PUMA, NC",50107.359619617695,Physicians,418409.06666666665,206831.79290917717,4.899105986439205
843,"Greater Newburgh City PUMA, NY",50101.34113115301,Aircraft pilots & flight engineers,668644.0,115613.87787785068,4.899122232754242
17,"Albuquerque City (Far Northeast Heights) PUMA, NM",50093.55388015932,Fundraisers,349518.48175182485,52283.03605469805,4.6489320955482425
2140,"Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA, MA",50070.45449705977,Radiologic technologists and technicians,306185.7254901961,56736.64149052558,4.9671022920068975
383,"Chesapeake City (South & West) PUMA, VA",50050.04087510266,Logisticians,271164.4913294798,51396.85651046584,4.92539852624632
2355,"Woodbury City PUMA, NJ",50049.37720625096,Physicians,645342.7936507936,206831.79290917717,5.1697804764629645
1676,"Perrysburg, Sylvania & Maumee Cities PUMA, OH",50048.78799495127,Chemical engineers,369808.94366197183,95707.39540394994,5.044179762430526
2252,"Washington County PUMA, RI",50039.2302698773,Aircraft pilots & flight engineers,407265.0,115613.87787785068,4.993358073935838
1322,"Matthews Town (South) PUMA, NC",50004.149044060345,"Lawyers, & judges, magistrates, & other judicial workers",343916.32692307694,124478.50814810928,5.145162521622146
1660,"Passaic & Clifton (Southeast) Cities PUMA, NJ",49988.52723584486,Cardiovascular technologists and technicians,645342.7924528302,76805.666221549,4.826953034427598
998,"I-94 Corridor PUMA, MI",49987.98705781401,Tax preparers,283036.7833333333,29580.191946286617,4.7488948531688555
541,"DeKalb CountyDecatur & Avondale Estates Cities PUMA, GA",49958.54799649082,Surgeons,477168.6956521739,282720.32402206364,5.065373809016591
2011,"South of I-10 & West of TX-6 PUMA, TX",49910.027696514306,"Industrial engineers, including health & safety",474129.4,72963.74519021867,4.807300927304427
117,"Bath City & Brunswick PUMA, ME",49888.91375128343,Podiatrists,360662.5333333333,112776.64908379482,4.8224542953482255
2361,"Worcester County (West Central) PUMA, MA",49888.67905353713,Magnetic resonance imaging technologists,628120.1081081082,100650.60025262598,5.0776354234327945
682,"Essex County (Northeast) PUMA, NJ",49885.9006316135,Firstline supervisors of construction trades & extraction workers,271866.20547945204,52835.46096129545,5.1450769800757765
810,"Glendora, Claremont, San Dimas & La Verne Cities PUMA, CA",49860.15601217335,Physicians,393419.3417721519,206831.79290917717,5.146792540326554
2335,"Williamson County (West)Cedar Park & Leander Cities PUMA, TX",49849.28810362541,Surgeons,474129.387755102,282720.32402206364,5.12244563736817
1177,"Lake Stevens & Monroe Cities PUMA, WA",49836.2701224304,Physical therapists,253274.2553191489,62904.28474109715,5.2416244459573305
1955,"Severn, Odenton, Crofton, Maryland City & Fort Meade PUMA, MD",49834.24368845945,Physicians,264371.0699588477,206831.79290917717,5.051513303203254
616,"East Baton Rouge Parish (South) PUMA, LA",49817.69418115994,Architectural & engineering managers,393081.632,134098.2588754237,4.8457168563358435
2121,"Sussex County PUMA, NJ",49816.867408814935,Ship & boat captains & operators,645342.8133333334,58756.26745002127,5.208143453116995
1737,"Pompano Beach (South) & Fort Lauderdale (Northeast) Cities PUMA, FL",49791.79706006604,Sales engineers,482234.1967213115,108780.47602985433,4.882570777971585
1288,"Madison & Yazoo Counties PUMA, MS",49790.92216178984,Physicians,319770.97297297296,206831.79290917717,4.7642670522234605
238,"Brookhaven Town (South) PUMA, NY",49788.655521609675,Computer network architects,230986.1214057508,95432.99220300168,4.954698269483443
524,"Dane County (East) PUMA, WI",49760.765760438495,Producers & directors,444749.59375,65061.10863708074,5.105072060642597
492,"Costa Mesa & Fountain Valley Cities PUMA, CA",49711.38958334014,Physician assistants,572399.8378378379,92251.10058815022,5.049399553081933
2272,"Wayne County (Northwest) PUMA, MI",49692.89304041981,Financial analysts,432592.4,99633.71762472302,5.076017779073891
210,"Bountiful, Farmington & North Salt Lake Cities PUMA, UT",49659.66681545304,Physicians,425500.7647058824,206831.79290917717,4.853878263233364
1962,"Shawnee, Lenexa & De Soto Cities PUMA, KS",49641.14879033133,"Business operations specialists, all other",212750.3829787234,60104.46884870296,4.843836894175363
1900,"San Jose City (East Central) & Alum Rock PUMA, CA",49632.04918911684,"Sales representatives of services, except advertising, insurance, financial services, and travel",303929.0961538461,75405.68465396445,5.003586179130328
1441,"Mount Pleasant Town PUMA, SC",49622.21475108076,Surgeons,426513.850340136,282720.32402206364,5.020708030439259
1570,"Oakland County (West) PUMA, MI",49597.900032768914,Dentists,432592.41904761904,127707.80053807772,4.9621310716270255
23,"Algonquin, McHenry & Nunda Townships PUMA, IL",49587.6697423582,Other financial specialists,550111.7058823529,98080.72862112064,5.218459021687519
1675,"Perry Hall, Middle River & Rosedale PUMA, MD",49554.334518988544,Physicians,193717.4858934169,206831.79290917717,5.112791793259104
2183,"Tuckahoe, Short Pump & Wyndham PUMA, VA",49547.56165296941,Dentists,372194.1610738255,127707.80053807772,5.15050489118853
170,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804615)",49542.683759154235,"Securities, commodities, & financial services sales agents",321799.85294117645,116457.02855852002,4.708550020423851
1151,"LA City (West Central/Westwood & West Los Angeles) PUMA, CA",49525.42424460631,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",478073.0593220339,41004.89901249011,5.125477142956781
368,"Chatham & Lee Counties PUMA, NC",49522.61968316652,Electrical powerline installers & repairers,418409.0580645161,65493.39119757196,4.896064941340623
1558,"Nueces CountyCorpus Christi City (Outer) PUMA, TX",49521.92289460975,Nurse anesthetists,474129.41414141416,137847.88905761446,4.922919169561617
56,"Arcadia, San Gabriel & Temple City Cities PUMA, CA",49498.85824939102,Other financial specialists,572399.8260869565,98080.72862112064,5.091566647858448
735,"Fort Lauderdale City (Central) PUMA, FL",49488.193761861345,Industrial production managers,352768.4914285714,77305.98243070339,5.009753630749651
86,"Austin City (Far North), Brushy Creek & Jollyville PUMA, TX",49487.10914560089,Physicians,308570.41495327104,206831.79290917717,5.06238242589014
263,"Burbank City PUMA, CA",49467.81210733046,"Entertainers & performers, sports & related workers, all other",253274.25352112675,20966.251639698374,4.953975816646024
1724,"Platte County PUMA, MO",49456.75678171114,Personal financial advisors,421448.3260869565,110943.36940078795,4.986821553670708
1011,"Inland Region PUMA, CA",49434.86588309417,"Lawyers, & judges, magistrates, & other judicial workers",572399.8167938931,124478.50814810928,4.7779968246850215
239,"Brookhaven Town (West Central) PUMA, NY",49426.26631069521,Physicians,380559.26744186046,206831.79290917717,5.047304343896796
661,"Elk Grove City PUMA, CA",49421.88314710886,Real estate brokers & sales agents,254303.57421875,43001.75341421511,5.107276025339032
1450,"Murrieta & Wildomar Cities PUMA, CA",49418.857754535864,Physicians,446138.8316831683,206831.79290917717,4.908049623495867
1692,"Philadelphia City (Southeast) PUMA, PA",49408.7796216617,Physicians,492365.1657142857,206831.79290917717,4.69734063180234
1414,"Monroe County (East) PUMA, NY",49404.668589286004,"Miscellaneous first-line supervisors, protective service workers",668644.0,56702.29217997607,5.113539660025221
743,"Fort Worth City (West) PUMA, TX",49394.492503574395,Insurance sales agents,474129.4615384616,53854.68649385349,5.002936539869033
1484,"New Orleans City (South) PUMA, LA",49391.45392704742,"Securities, commodities, & financial services sales agents",393081.6363636364,116457.02855852002,4.999788716049699
1500,"Noblesville City & Fishers Town (East) PUMA, IN",49389.65148873,Surgeons,417395.9658119658,282720.32402206364,4.746988226097675
577,"District of Columbia (East) PUMA, DC",49385.16490029654,Licensed practical & licensed vocational nurses,321333.9568345324,31387.677482973708,4.930531006342945
484,"Concord, Kannapolis Cities & Harrisburg Town PUMA, NC",49369.57076149441,Web developers,418409.0476190476,50938.46175184039,4.966189265549085
1103,"Kendall (North), Sunset & Westwood Lakes PUMA, FL",49331.79380485043,Management analysts,330288.01451905625,71424.88393523055,4.853325155954201
1585,"Olathe, Gardner, Spring Hill & Edgerton Cities PUMA, KS",49320.392125385406,Aircraft pilots & flight engineers,444749.5696202532,115613.87787785068,5.140819494000576
256,"Bucks County (Southwest) PUMA, PA",49317.82560964059,Construction managers,492365.1592689295,61965.46836887661,5.1056720926939185
164,"Bethlehem (East) & Easton Cities PUMA, PA",49304.9439466669,Podiatrists,492365.1506849315,112776.64908379482,4.9863015665381125
15,"Albany County (Outside Albany City) PUMA, NY",49302.7974601544,Surgeons,668644.016064257,282720.32402206364,5.248001925672884
1592,"Omaha City (Southwest) PUMA, NE",49299.95896634829,Radiologic technologists and technicians,435631.7358490566,56736.64149052558,5.008001442094029
154,"Benton County PUMA, AR",49278.522999004716,Veterinarians,427526.94545454544,84868.11662911795,5.23903274951674
529,"Davie Town & Cooper City PUMA, FL",49271.4949052681,Surgeons,482234.183908046,282720.32402206364,4.912771985893153
419,"Clermont County (West) PUMA, OH",49261.89626331752,Sales managers,437657.9104477612,106611.873312147,4.983990494508983
1029,"Irving Park, Albany Park, Forest Glen & North Park PUMA, IL",49260.343653407705,Chief executives & legislators,297641.15777777776,141283.83645852594,5.1106460721964115
926,"Henderson (East) & Boulder Cities PUMA, NV",49221.16788748218,Physicians,378651.36200716847,206831.79290917717,5.155000506677437
94,"Aventura City & Surfside Town PUMA, FL",49185.40409286432,Social & community service managers,482234.2,53910.81155826022,4.558397556782338
1145,"LA City (Northwest/Chatsworth & Porter Ranch) PUMA, CA",49160.24402737146,Athletes and sports competitors,303929.12,46411.686201251,5.21018234684712
712,"Federal Way, Des Moines Cities & Vashon Island PUMA, WA",49151.6382154394,Surgeons,527823.5460992908,282720.32402206364,4.999165233956097
1665,"Pelham Parkway, Morris Park & Laconia PUMA, NY",49124.78716873291,"Heating, air conditioning, & refrigeration mechanics & installers",195527.72093023252,38378.79207938513,5.005355281288765
322,"Carteret Borough PUMA, NJ",49103.02840303473,"Lawyers, & judges, magistrates, & other judicial workers",308994.59793814435,124478.50814810928,5.014026075757711
1296,"Manchester & East Hartford Towns PUMA, CT",49093.82435890884,Dentists,727403.6,127707.80053807772,4.926876305538088
1109,"Kent County (Southeast) PUMA, MI",49018.2836679331,Reservation & transportation ticket agents & travel clerks,432592.4,33710.41897704174,4.906292552412115
273,"Butler County PUMA, PA",49011.35477805003,Mechanical engineers,492365.1830985916,77923.2754670551,5.162550030919687
695,"Fairfield & Suisun City Cities PUMA, CA",48997.93488728006,Marketing managers,202619.4,84553.35115257063,5.190887898535438
283,"Camarillo & Moorpark Cities PUMA, CA",48965.33202509151,Firstline supervisors of fire fighting & prevention workers,324191.0243902439,79095.65843796109,5.0994042237023685
564,"Denver City (Southeast) PUMA, CO",48950.595069024406,Radiologic technologists and technicians,275247.1925925926,56736.64149052558,5.16191477257776
878,"Gwinnett County (North)Sugar Hill City PUMA, GA",48884.06832726274,Chief executives & legislators,173437.77017783857,141283.83645852594,4.905899349951437
1390,"Milwaukee County (Northeast) PUMA, WI",48878.29633341615,Veterinarians,444749.5813953488,84868.11662911795,4.748154623059707
1887,"San Diego City (Central/Centre City & Balboa Park) PUMA, CA",48875.68992829267,Medical & health services managers,572399.8181818182,74643.1976723827,5.205846296663413
2357,"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA, MA",48875.30848114684,Actuaries,303929.0909090909,131082.8818200338,4.969075339936278
257,"Buena Park, Cypress & Seal Beach Cities PUMA, CA",48865.30281982367,Market research analysts & marketing specialists,572399.8245614035,67737.87609580542,5.088127236055393
2123,"Sweetwater RegionChula Vista City (East) PUMA, CA",48806.79758887412,Nurse anesthetists,202619.40740740745,137847.88905761446,5.006519178825809
216,"Brandermill & Woodlake PUMA, VA",48783.72314386351,Cardiovascular technologists and technicians,222881.3488372093,76805.666221549,5.020036235059118
793,"George Washington Regional Commission (South) PUMA, VA",48777.683710564714,Architectural & engineering managers,506548.5,134098.2588754237,5.321489580074614
2136,"Tampa City (South) PUMA, FL",48750.277718132595,Advertising & promotions managers,482234.1904761905,68524.37743676595,5.227789869407386
2144,"Tempe (South) & Chandler (Northwest) Cities PUMA, AZ",48749.34625484663,Personal financial advisors,417395.9523809524,110943.36940078795,5.017990482512889
513,"Cutler Bay Town & Palmetto Bay Village PUMA, FL",48715.18770048444,"Securities, commodities, & financial services sales agents",482234.1818181818,116457.02855852002,4.873542508098675
1872,"San Antonio (Far Northwest) & Helotes Cities PUMA, TX",48704.419651236094,Psychiatric technicians,263405.2207792208,28564.15312128976,5.1212216037367355
318,"Carrollton (North) & Dallas (North) Cities PUMA, TX",48692.1663716855,Stationary engineers & boiler operators,474129.4,52943.046979418286,5.013821725740424
1745,"Porter County PUMA, IN",48688.58905189924,Automotive body & related repairers,417395.9806763285,32564.209274643224,5.015031522336168
675,"Erie County (Northeast) PUMA, NY",48675.569357854474,Fundraisers,668644.0,52283.03605469805,4.846837380861387
2209,"Vacaville & Dixon Cities PUMA, CA",48662.014472155905,Physicians,303929.0947368421,206831.79290917717,5.085671667171602
801,"Gilbert Town (North) PUMA, AZ",48654.80880679866,Dentists,317929.7704918033,127707.80053807772,5.219534876939686
72,"Astoria & Long Island City PUMA, NY",48623.74330517348,Firstline supervisors of nonretail sales workers,165025.96280991734,70776.29211066732,5.2978657663105615
972,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA, TX",48618.77759355699,"Educational, guidance, and career counselors and advisors",299876.7211538461,42271.27930216287,4.9159768094979635
1586,"Olmsted Township, Bay Village, North Olmsted & Westlake Cities PUMA, OH",48614.22640620939,Radiologic technologists and technicians,437657.9142857143,56736.64149052558,4.84526759321328
648,"El Dorado Hills PUMA, CA",48611.972882653696,Physicians,382191.6489028213,206831.79290917717,5.147899673030172
2158,"Tigard, Tualatin & Sherwood Cities PUMA, OR",48585.886164172,Computer network architects,413343.55,95432.99220300168,4.998739215956005
1783,"Rancho Cucamonga City PUMA, CA",48580.44928066076,Physicians,356163.6243936244,206831.79290917717,5.029872662552815
1837,"Rocklin, Lincoln Cities & Loomis Town PUMA, CA",48574.37513966716,Diagnostic medical sonographers,303929.1034482759,73862.48732493505,5.019250013397906
1944,"Seaside, Monterey, Marina & Pacific Grove Cities PUMA, CA",48565.30841219978,Prepress technicians & workers,572399.8181818182,28606.185665592537,5.147659203627593
2316,"Westpark Tollway, West of Beltway TX-8 PUMA, TX",48546.54136736583,Project management specialists,474129.4117647059,85846.81864248517,4.837334548305096
1270,"Louisville/Jefferson County (Southeast) PUMA, KY",48544.37403292141,Radiologic technologists and technicians,403212.594059406,56736.64149052558,5.097704006316383
1405,"Missouri City PUMA, TX",48519.32658127919,Surgeons,474129.4222222222,282720.32402206364,4.848948695865667
96,"Avon, Lake Villa, Antioch & Grant Townships PUMA, IL",48454.90288686061,Actuaries,212750.37931034484,131082.8818200338,5.141679092019099
952,"Hillsborough County (North Central) PUMA, FL",48449.915193024644,Credit counselors & loan officers,482234.2,67871.33144378143,5.081261786099508
465,"Columbus (Far Northeast), Gahanna & New Albany Cities PUMA, OH",48429.88174910969,Chief executives & legislators,223612.3037974684,141283.83645852594,4.91507859959252
1633,"Oxon Hill, Hillcrest Heights & Temple Hills PUMA, MD",48421.229347136774,Financial managers,226804.1424418605,92038.95558870002,4.968496226273753
2360,"Worcester County (South) PUMA, MA",48396.27180303416,Other Physical Scientists,628120.1441441441,73811.74773838854,5.109688967583928
706,"Farragut Town PUMA, TN",48395.2752270482,Surgeons,445762.6666666667,282720.32402206364,5.18415239590915
157,"Berkeley & Albany Cities PUMA, CA",48366.535108326956,"Communications equipment operators, all other",243143.27777777775,36114.60724000583,4.9448886704714266
1350,"Merrimack County (Central)Concord City PUMA, NH",48360.40861361558,Commercial and industrial designers,531875.9322033898,64670.474974791454,5.115769812560663
619,"East Flatbush, Farragut & Rugby PUMA, NY",48351.25088125222,Human resources managers,523322.6939890711,72391.03540336741,5.019957126217844
516,"Dallas (Far North) & Richardson (Southwest) Cities PUMA, TX",48323.80122740404,Magnetic resonance imaging technologists,474129.4285714286,100650.60025262598,4.922546084993203
